book_title,Автор,Издательство,Цена со скидкой,Цена без скидки,Процент скидки,Наличие на складе
Программирование на языке Си. Учебное пособие для вузов,Рацеев Сергей Михайлович,Лань:Компьютеры и программное обеспечение,2122,4003,На складе,47
Руткиты и буткиты. Обратная разработка вредоносных программ и угрозы следующего поколения,Матросов Александр и др.,ДМК-Пресс,2187,4127,На складе,47
Профессиональный бенчмарк. Искусство измерения производительности,Акиньшин Андрей,Питер:Библиотека программиста,2597,3329,На складе,22
Основы построения экономических моделей в Excel. Учебник для СПО,"Воскобойников Юрий Евгеньевич, Мухина Ирина Николаевна",Лань:Компьютеры и программное обеспечение,1229,2318,Ограничено,47
Программирование на языке Си.Учебное пособие для СПО,Рацеев Сергей Михайлович,Лань:Компьютеры и программное обеспечение,2009,3791,Ограничено,47
JavaScript.Как писать программы.Учебное пособие для вузов,Янцев Валерий Викторович,Лань:Компьютеры и программное обеспечение,1452,2740,Ограничено,47
JavaScript.Как писать программы Учебное пособие для СПО,Янцев Валерий Викторович,Лань:Компьютеры и программное обеспечение,1606,3030,Ограничено,47
Теория автоматического управления в примерах и задачах с решениями в MATLAB. Учебное пособие,Гайдук Анатолий Романович и др.,Лань:Учебники для вузов. Специальная литература,2209,4167,Ограничено,47
Язык программирования С++,Страуструп Бьерн,Бином,1654,3120,На складе,47
Построение распределенных систем на базе WebSocket. Учебное пособие для вузов,"Хабаров Сергей Петрович, Шилкина Мария Львовна",Лань:Компьютеры и программное обеспечение,1554,2933,На складе,47
Svelte и Sapper в действии,Волкманн Марк,Питер:Для профессионалов,3844,4928,На складе,22
Хочу в геймдев! Основы игровой разработки для начинающих,"Уточкин Вячеслав Николаевич, Сахнов Константин Сергеевич",Бомбора:Российский компьютерный бестселлер,950,1301,На складе,27
Разработка игр и теория развлечений,Костер Рэф,ДМК-Пресс,1504,2837,На складе,47
Структуры данных в Python. Начальный курс,Шихи Дональд Р.,ДМК-Пресс,1094,2064,На складе,47
Большая книга проектов Python,Свейгарт Эл,Питер,1547,1983,На складе,22
System Design. Подготовка к сложному интервью,Сюй Алекс,Питер,1287,1650,На складе,22
Отзывчивый дизайн на HTML5 и CSS3 для любых устройств,Фрэйн Бен,Питер,2077,2663,На складе,22
Глубокое обучение с подкреплением. Теория и практика на языке Python,"Грессер Лаура, Кенг Ван Лун",Питер:Библиотека программиста,2325,2981,На складе,22
Искусство WebAssembly. Создание безопасных межплатформенных высокопроизводительных приложений,Баттальини Рик,ДМК-Пресс,1367,2580,На складе,47
Микросервисы Spring в действии,"Карнелл Джон, Санчес Иллари Уайлупо",ДМК-Пресс,2187,4127,На складе,47
Осваиваем архитектуру Transformer. Разработка современных моделей с помощью передовых методов,"Йылдырым Саваш, Асгари-Ченаглу Мейсам",ДМК-Пресс,1778,3354,На складе,47
Основы юзабилити-тестирования,Барнум Кэрол М.,ДМК-Пресс,2187,4127,На складе,47
Творческие проекты с микроконтроллером в среде TinyGo и WebAssembly,Тил Тобиас,ДМК-Пресс,1504,2837,На складе,47
Программирование на Python. Первые шаги,Щерба Анастасия Владимировна,Лаборатория знаний:Школа юного программиста,628,1046,На складе,40
Вычисления в кольцах некоммутативных многочленов. Учебное пособие для вузов,Цирулик Владимир Григорьевич,Лань:Компьютеры и программное обеспечение,2131,4021,На складе,47
Практический анализ двоичных файлов,Эндриесс Дэннис,ДМК-Пресс,2187,4127,На складе,47
Изучаем C# через разработку игр на Unity,Ферроне Харрисон,Питер:Библиотека программиста,1416,1816,На складе,22
Основы алгоритмизации и программирования на языке Паскаль. Лабораторный практикум. Учебное пособие,Коренская Ирина Николаевна,Лань:Компьютеры и программное обеспечение,842,1588,На складе,47
Исследование операций. Том 1. Линейное программирование. Учебник для вузов,Трушков Александр Сергеевич,Лань:Компьютеры и программное обеспечение,1728,3261,На складе,47
Игра в цифры. Как аналитика позволяет видеоиграм жить лучше,Сабиров Василий Константинович,Бомбора:Российский компьютерный бестселлер,1384,1896,На складе,27
Apache Airflow и конвейеры обработки данных,"Харенслак Бас, Руйтер Джулиан де",ДМК-Пресс,2325,4386,На складе,47
Python для всех,Северанс Чарльз Р.,ДМК-Пресс,820,1547,На складе,47
Практикум по проектированию на языках VerilogHDL и SystemVerilog. Учебное пособие,"Мурсаев Александр Хафизович, Буренева Ольга Игоревна",Лань:Учебники для вузов. Специальная литература,719,1356,На складе,47
Использование языка Python в теории вероятности. Учебник,Криволапов Сергей Яковлевич,Прометей,1512,2852,На складе,47
Экономика на Python. Учебник,"Хрипунова Марина Борисовна, Губернаторов Алексей Михайлович",Прометей,1099,2074,На складе,47
Black Hat Python. Программирование для хакеров и пентестеров,"Зейтц Джастин, Арнольд Тим",Питер:Библиотека программиста,1547,1983,На складе,22
Однострочники Python. Лаконичный и содержательный код,Майер Кристиан,Питер:Библиотека программиста,1547,1983,На складе,22
Гид Java-разработчика. Проектно-ориентированный подход,"Урма Рауль-Габриэль, Уорбэртон Ричард",Бомбора:Мировой компьютерный бестселлер,812,1113,На складе,27
"PHP 8. Объекты, шаблоны и методики программирования",Зандстра Мэтт,Диалектика,4122,7778,На складе,47
Python и DevOps. Ключ к автоматизации Linux,Гифт Ной и др.,Питер:Бестселлеры O`Reilly,2345,3006,На складе,22
Прикладное программирование на С/С++: с нуля,Иванов Всеволод Борисович,Солон-пресс:Программирование,684,1290,На складе,47
Введение в логическое программирование,"Дженесерет Майкл, Чаудри Винай К.",ДМК-Пресс,1230,2321,На складе,47
Параллельное программирование на C# и .NET Core,Шакти Танвар,ДМК-Пресс,1367,2580,На складе,47
Параллельные и высокопроизводительные вычисления,"Роби Роберт, Замора Джулиана",ДМК-Пресс,2734,5159,На складе,47
Исследование операций в экономике. Практикум. Учебное пособие для вузов,Слабнов Виктор Дмитриевич,Лань:Компьютеры и программное обеспечение,2221,4191,На складе,47
"Паттерны разработки на Python. TDD, DDD и событийно-ориентированная архитектура","Персиваль Гарри, Грегори Боб",Питер:Для профессионалов,1947,2496,На складе,22
WebAssembly в действии,Галлан Жерар,Питер:Библиотека программиста,2586,3315,На складе,22
Разработка моделей предметной области автоматизации. Учебник для вузов,Котлинский Сергей Владимирович,Лань:Компьютеры и программное обеспечение,2593,4892,На складе,47
Разработка моделей предметной области автоматизации. Учебник для СПО,Котлинский Сергей Владимирович,Лань:Компьютеры и программное обеспечение,2345,4425,На складе,47
Проектирование человеко-машинного взаимодействия. Учебник для вузов,Игнатьев Александр Владимирович,Лань:Компьютеры и программное обеспечение,379,716,На складе,47
Программные коллекции данных. Проектирование и реализация. Учебник,Романенко Татьяна Александровна,Лань:Компьютеры и программное обеспечение,1358,2563,Ограничено,47
Программные коллекции данных. Проектирование и реализация. Учебное пособие для СПО,Романенко Татьяна Александровна,Лань:Компьютеры и программное обеспечение,1358,2563,На складе,47
C# 9 и .NET 5. Разработка и оптимизация,Прайс Марк Дж.,Питер:Для профессионалов,3246,4162,На складе,22
Функциональное программирование. Учебник,Гордиенко Александр Петрович,Кнорус:Магистратура,938,1769,Ограничено,47
Clojure на производстве,Гришаев Иван,ДМК-Пресс,1367,2580,На складе,47
Алгоритмы ГИС,Сяо Нинчуань,ДМК-Пресс,1367,2580,На складе,47
Изучаем SHINY,Уикем Хэдли,ДМК-Пресс,1778,3354,На складе,47
Анализ поведенческих данных на R и PYTHON,Бюиссон Флоран,ДМК-Пресс,1778,3354,На складе,47
Оптимизация запросов PostgreSQL,Домбровская Генриэтта и др.,ДМК-Пресс,1367,2580,На складе,47
Разработка беспилотных транспортных средств,Лю Шаошань и др.,ДМК-Пресс,1504,2837,На складе,47
Собираем устройства для тестов на проникновение,Бирюков Андрей Александрович,ДМК-Пресс,1025,1934,На складе,47
Java. Карманный справочник,"Лигуори Роберт, Лигуори Патрисия",Вильямс,1374,2592,На складе,47
Чистая архитектура. Искусство разработки программного обеспечения,Мартин Роберт С.,Питер:Библиотека программиста,1022,1310,На складе,22
Простая Математика для Простых Программистов,Гаско Рик,Солон-пресс:Программирование,596,1125,На складе,47
Простой учебник программирования,Гаско Рик,Солон-пресс:Программирование,671,1266,На складе,47
Потоковая обработка данных. Конвейер реального времени,Пселтис Эндрю Дж.,ДМК-Пресс,957,1806,На складе,47
Java для чайников,Берд Барри,"Диалектика:Для ""чайников""",2286,4313,На складе,47
Психбольница в руках пациентов. Алан Купер об интерфейсах,Купер Алан,Питер:Библиотека программиста,1400,1795,На складе,22
OpenCV и Java. Обработка изображений и компьютерное зрение,Прохоренок Николай Анатольевич,BHV:Профессиональное программирование,494,932,Ограничено,47
"Высоконагруженные приложения. Программирование, масштабирование, поддержка",Клеппман Мартин,Питер:Бестселлеры O`Reilly,2714,3480,На складе,22
Глубокое обучение с точки зрения практика,"Паттерсон Джош, Гибсон Адам",ДМК-Пресс,1778,3354,На складе,47
Думай как программист. Креативный подход к созданию кода. C++ версия,Спрол Антон,Бомбора:Мировой компьютерный бестселлер,760,1041,На складе,27
Релевантный поиск с использованием Elasticsearch и Solr,"Тарнбулл Даг, Берримен Джон",ДМК-Пресс,1230,2321,На складе,47
Программирование на языке Rust. Цветное издание,"Блэнди Джим, Орендорф Джейсон",ДМК-Пресс,2051,3869,На складе,47
Алгоритмы для начинающих. Теория и практика для разработчика,Луридас Панос,Бомбора:Мировой компьютерный бестселлер,1167,1599,На складе,27
Язык С в XXI веке,Клеменс Бен,ДМК-Пресс,1025,1934,На складе,47
Android. Сборник рецептов. Задачи и решения для разработчиков приложений,Дарвин Ян Ф.,Диалектика,3481,6567,Ограничено,47
Официальное руководство Cisco по подготовке к сертификационным экзаменам CCENT/CCNA ICND1 100-105,Одом Уэнделл,Вильямс,6869,12960,На складе,47
Теория и практика делового общения для разработчиков программного обеспечения и IT-менеджеров,Абельская Раиса Шолемовна,Флинта,187,352,На складе,47
Анализ социальных медиа на Python,Бонцанини Марко,ДМК-Пресс,1094,2064,На складе,47
Глубокое обучение (цветная),Бенджио Иошуа и др.,ДМК-Пресс,2734,5159,На складе,47
"Прямые и обратные задачи восстановления изображений, спектроскопии и томографии с MatLab (+CD)",Сизиков Валерий Сергеевич,Лань:Учебники для вузов. Специальная литература,1929,3640,На складе,47
Функциональное программирование на JavaScript. Как улучшить код JavaScript-программ,Атенсио Луис,Вильямс,1832,3456,На складе,47
Разработка операционной системы и компилятора. Проект Оберон,"Вирт Никлаус, Гуткнехт Юрг",ДМК-Пресс:Классика программирования,1094,2064,На складе,47
CodeVisionAVR. Пособие для начинающих,Лебедев Михаил Борисович,ДМК-Пресс:Программируемые системы,957,1806,На складе,47
"Как написать безопасный код на С++, Java, Perl, PHP, ASP.NET",Ховард Майкл и др.,ДМК-Пресс,683,1289,На складе,47
Scala. Профессиональное программирование,Одерски Мартин и др.,Питер:Библиотека программиста,2271,2912,На складе,22
Искусство алгоритмизации,Потопахин Виталий Валерьевич,ДМК-Пресс,751,1417,На складе,47
